"countries" "countries_short" "Labour.market.insecurity.Total" "Stakeholder.engagement.for.developing.regulations.Total" "Dwellings.without.basic.facilities.Total" "Housing.expenditure.Total" "Feeling.safe.walking.alone.at.night.Total" "Feeling.safe.walking.alone.at.night.Men" "Feeling.safe.walking.alone.at.night.Women" "Rooms.per.person.Total" "Household.net.adjusted.disposable.income.Total" "Household.net.wealth.Total" "Employment.rate.Total" "Employment.rate.Men" "Employment.rate.Women" "Long.term.unemployment.rate.Total" "Long.term.unemployment.rate.Men" "Long.term.unemployment.rate.Women" "Personal.earnings.Total" "Quality.of.support.network.Total" "Quality.of.support.network.Men" "Quality.of.support.network.Women" "Quality.of.support.network.High" "Quality.of.support.network.Low" "Educational.attainment.Total" "Educational.attainment.Men" "Educational.attainment.Women" "Student.skills.Total" "Student.skills.Men" "Student.skills.Women" "Student.skills.High" "Student.skills.Low" "Years.in.education.Total" "Years.in.education.Men" "Years.in.education.Women" "Air.pollution.Total" "Water.quality.Total" "Water.quality.Men" "Water.quality.Women" "Voter.turnout.Total" "Life.expectancy.Total" "Life.expectancy.Men" "Life.expectancy.Women" "Self.reported.health.Total" "Self.reported.health.Men" "Self.reported.health.Women" "Self.reported.health.High" "Self.reported.health.Low" "Life.satisfaction.Total" "Life.satisfaction.Men" "Life.satisfaction.Women" "Life.satisfaction.High" "Life.satisfaction.Low" "Homicide.rate.Total" "Homicide.rate.Men" "Homicide.rate.Women" "Employees.working.very.long.hours.Total" "Employees.working.very.long.hours.Men" "Employees.working.very.long.hours.Women" "Time.devoted.to.leisure.and.personal.care.Total" "Time.devoted.to.leisure.and.personal.care.Men" "Time.devoted.to.leisure.and.personal.care.Women"
"Italy" "ITA" 8.6 2.5 0.6 22.5 73 79 67 1.4 29431 295020 58 67 49 4.8 4.4 5.3 37769 89 92 86 90 91 63 61 65 477 476 478 511 436 17 16 17 15.9 77 73 82 73 83.6 81.4 85.7 73 76 70 80 71 6.5 6.4 6.5 7.1 6.7 0.5 0.7 0.3 3.3 4.3 2.2 16.47 16.9 15.52
"Japan" "JPN" 2.7 1.4 6.4 21.8 77 85 69 1.9 28872 294735 77 84 71 0.8 1 0.5 38515 89 84 93 90 90 NA NA NA 520 519 521 537 465 16 16 16 13.7 87 89 85 53 84.4 81.4 87.5 37 38 35 42 29 6.1 5.9 6.3 6.5 6.1 0.2 0.2 0.2 NA NA NA 14.1 14.2 14
"Korea" "KOR" 2.9 2.9 2.5 14.7 82 87 77 1.5 24590 362340 66 75 57 0 0 0 41960 80 74 86 86 78 89 92 87 520 517 522 552 477 17 18 17 27.3 82 80 84 77 83.3 80.3 86.3 34 38 30 40 26 5.8 5.4 6.2 6.3 5.5 0.8 0.9 0.7 NA NA NA 14.83 15.1 14.47
"Luxembourg" "LUX" 2.2 1.7 0.1 20.7 87 89 84 2 44773 941162 67 70 64 1.7 1.6 1.9 65854 91 91 91 92 91 74 74 74 477 472 481 537 415 15 15 15 10 85 85 85 90 82.7 80.2 85.2 72 73 70 76 65 7.4 7.4 7.4 7.8 7.3 0.2 0.3 0.2 2.8 3.4 2 NA NA NA
"Mexico" "MEX" 4 3.2 25.9 17.8 42 54 32 1.1 16269 NA 59 76 45 0.1 0.1 0.1 16230 77 77 76 86 81 42 42 41 416 418 415 464 382 15 15 16 20.3 75 78 72 63 75.1 72.2 78 66 67 64 NA NA 6 6.3 5.6 7 6.2 26.8 50.5 5.5 27 33 17.4 NA NA NA
"Netherlands" "NLD" 2.5 2.6 0.1 19.6 83 95 72 2 34984 248599 78 82 74 0.9 0.9 1 58828 94 96 92 97 93 81 81 81 502 497 508 536 448 19 19 19 12.2 91 95 88 79 82.2 80.6 83.7 75 77 73 86 60 7.5 7.6 7.4 7.8 7.4 0.6 0.8 0.4 0.3 0.6 0.1 15.45 15.4 15.67
"New Zealand" "NZL" 4.5 2.5 NA 25 66 80 53 2.4 39024 514162 77 81 72 0.4 0.4 0.4 45269 95 95 95 93 96 81 80 82 503 500 506 558 462 18 17 18 6 85 85 84 82 82.1 80.3 83.9 86 87 85 92 82 7.3 7.1 7.4 7.3 7.2 1.3 1.6 1 14 19.3 8.6 14.87 14.6 14.53
"Norway" "NOR" 2.8 2.2 0 17.7 93 98 89 2.1 39144 268358 75 77 73 0.9 1 0.8 55780 96 96 96 98 94 82 82 83 497 486 508 532 459 18 18 19 6.7 98 98 98 78 83 81.3 84.7 75 76 73 83 67 7.3 7.3 7.3 7.4 7.2 0.6 0.7 0.5 1.4 2.1 0.6 15.67 15 16.39
"Poland" "POL" 5 2.6 2.3 21.2 71 80 63 1.1 23675 233221 69 76 61 0.6 0.6 0.7 32527 94 93 95 98 93 93 93 94 513 508 518 560 469 18 17 18 22.8 82 83 82 68 78 74.1 81.9 60 63 57 74 49 6.1 6.3 6 6.6 6 0.5 0.8 0.3 4.2 6.7 1.3 14.68 14.9 14.33
"Portugal" "PRT" 8.1 1.5 0.9 19.6 83 92 75 1.7 24877 255303 69 72 67 2.3 2.2 2.4 28410 87 88 86 95 92 55 52 59 492 490 494 543 448 17 17 17 8.3 89 91 88 49 81.8 78.7 84.8 50 55 45 63 38 5.8 6 5.6 6.7 6 0.7 1 0.4 5.6 8.1 3.3 NA NA NA
