0,531,1790,2743,540,898,1429,1306,402,484,1884,834,2576,1216,378
0,0,1526,2215,10,787,1165,1840,328,220,1356,698,2047,687,859
0,0,0,1164,1543,1349,355,3100,1384,1312,847,1092,1007,1088,2181
0,0,0,0,2214,2506,1354,4055,2383,2311,863,2091,175,1553,3074
0,0,0,0,0,795,1173,1848,336,228,1351,706,2042,682,867
0,0,0,0,0,0,803,1986,512,573,1709,88,2169,1040,1281
0,0,0,0,0,0,0,2737,1021,949,696,729,1196,736,1818
0,0,0,0,0,0,0,0,1711,1793,3202,2143,3893,2533,1574
0,0,0,0,0,0,0,0,0,165,1602,447,2221,934,783
0,0,0,0,0,0,0,0,0,0,1572,478,2149,904,866
0,0,0,0,0,0,0,0,0,0,0,1633,693,691,2212
0,0,0,0,0,0,0,0,0,0,0,0,1929,962,1216
0,0,0,0,0,0,0,0,0,0,0,0,0,1384,2904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

